,FQ,气候代码,默认城市,2025年城市
热带雨林气候,Af,Af,新加坡,Kuala Lumpur
热带季风气候,Am,Am,迈阿密,Chittagong
萨瓦纳气候,Aw,Aw,胡志明市,Bangkok
半干旱草原气候,Bsh,BSh,檀香山,Niamey
半干旱草原气候,Bsk,BSk,石家庄,Denver
沙漠气候,Bwh,BWh,开罗,Cairo
沙漠气候,Bwk,BWk,吐鲁番,Albuquerque
亚热带湿润气候,Cfa,Cfa,上海,Buenos Aires
海洋性气候,Cfb,Cfb,伦敦,Amsterdam
海洋性气候,Cfc,Cfc,雷克雅未克,Reykjavík
地中海气候,Csa,Csa,罗马,Athens
地中海气候,Csb,Csb,巴尔马塞达（智利）,Cape Town
地中海气候,Csc,Csc,开普敦,Balmaceda
亚热带湿润气候,Cwa,Cwa,香港,Chengdu
亚热带高地气候,Cwb,Cwb,昆明,Johannesburg
亚热带高地气候,Cwc,Cwc,拉巴斯,El Alto
温带大陆性湿润气候,Dfa,Dfa,芝加哥,Chicago
温带大陆性湿润气候,Dfb,Dfb,莫斯科,Edmonton
亚寒带大陆性湿润气候,Dfc,Dfc,法尔班克斯,Arkhangelsk
亚寒带大陆性湿润气候,Dfd,Dfd,雅库茨克,Okhotsky-Perevoz
温带大陆性气候,Dsa,Dsa,盐湖城,Bishkek
温带大陆性气候,Dsb,Dsb,金奈(印度),Flagstaff
亚寒带大陆性气候,Dsc,Dsc,安克雷奇,Anadyr
亚寒带大陆性气候,Dsd,Dsd,Verkhoyansk,Verkhoyansk
温带季风气候,Dwa,Dwa,北京,Beijing
温带季风气候,Dwb,Dwb,卡尔加里,Calgary
亚寒带季风气候,Dwc,Dwc,Mohe,Mohe County
亚寒带季风气候,Dwd,Dwd,奥伊米亚康,Allakh-Yun
寒带冰原气候,EF,EF,阿蒙森—斯科特科考站,Amundsen–Scott Station
寒带苔原气候,ET,ET,乌斯怀亚,Alert（Nunavut）
