日期,阵风(10m)(m s**-1),阵风(瞬时)(10m)(m s**-1),地表温度(K),近地面气温(K),地表净太阳辐射(J m**-2),晴空地表净太阳辐射(J m**-2),地表净热辐射(J m**-2),晴空地表净热辐射(J m**-2),气压(Pa),晴空地表水平辐射(J m**-2),大气层顶净太阳辐射(J m**-2),晴空大气层顶净太阳辐射(J m**-2),大气层顶净热辐射(J m**-2),总云量((0 - 1)),地表总直接太阳辐射(J m**-2),散射辐射的UV可见反照率((0 - 1)),湿度%,地面风速m/s,天空发射率,ra
2025/7/1 0:00,5.006407738,4.970569611,299.6175537,301.6600647,3.60E-12,0,-117606.625,-114447,100321.1563,0,0,0,-980762,0.740386963,0,0.077553898,84.89598902,2.962556214,0.366562726,114.9904701
2025/7/1 1:00,4.970280647,4.478787422,299.2942505,301.5550232,3.60E-12,0,-114939,-113994.9375,100287.9688,0,0,0,-969546,0.617706299,0,0.0775382,85.64718977,2.676015916,0.361054115,118.9904686
2025/7/1 2:00,4.47840786,4.30420208,298.9538574,301.6413879,3.60E-12,0,-119641,-115503,100277.3438,0,0,0,-973112,0.769226074,0,0.077507466,84.91976049,2.414528128,0.368217555,111.0312918
2025/7/1 3:00,4.74954319,4.27658844,298.6136475,301.3677673,3.60E-12,0,-132791,-125863,100292.4375,0,0,0,-975018,0.995941162,0,0.077485874,85.19450016,2.267102151,0.387744548,92.79196265
2025/7/1 4:00,4.276535034,3.83758831,298.4842529,301.2392578,3.60E-12,0,-130599,-128284,100320.7813,0,0,0,-954904,0.98928833,0,0.07745491,85.76190091,2.319352783,0.3869233,93.36437947
2025/7/1 5:00,3.943439484,4.005352974,298.3505249,304.1081238,3.60E-12,0,-122188,-121367,100363.5625,0,0,0,-935424,0.999298096,0,0.077424183,75.81313688,2.286555509,0.389928886,83.28650055
2025/7/1 6:00,4.501971245,4.709095955,299.6431274,304.3188782,70208,67200,-120862,-116601,100316.0938,91584,171264,190464,-879649,0.950714111,15680,0.077408478,74.89610272,2.827771306,0.384295173,92.27440114
2025/7/1 7:00,5.669492722,5.796811104,301.9588623,304.377594,407296,444032,-144796,-129518,100437.375,563456,809088,898304,-852958,0.96661377,194496,0.07739301,73.4843259,3.182006409,0.385166031,95.47079334
2025/7/1 8:00,6.874757767,7.158153534,303.8815308,304.2711792,928512,980544,-170540,-156095,100495.5313,1223936,1624064,1696000,-856259,0.973144531,636480,0.077362053,73.47498488,3.903650083,0.385583062,91.58552709
2025/7/1 9:00,8.374796867,8.65961647,305.3858643,307.0709534,1480960,1532352,-190338.875,-179433.4375,100540.7813,1902528,2394240,2456064,-908482,0.965942383,1188480,0.077331319,62.50982747,4.682572286,0.384046933,78.24165466
