time,latitude,longitude,number,u10,d2m,t2m,sp,skt,v10n,i10fg,cbh,hcc,lcc,mcc,tcc,tciw,tclw,blh,tcwv,expver,tp,cdir,ssr,ssrc,str,strc,ssrdc,ssrd,strdc,strd,fdir,cp,lsp,日期时间,风速_m/s,近地面气温_K,气温_C,露点_C,相对湿度_%,云量,time_step_seconds,地表下行短波_W/m2,地表下行长波_W/m2,地表净太阳辐射_W/m2,地表净热辐射_W/m2,气压_Pa,太阳辐射_W/m2,大气透过率,天空发射率,材料热辐射_W/m2,大气向下辐射_W/m2,太阳吸收_W/m2,净制冷功率_W/m2,理想制冷功率_W/m2,制冷效率,小时,日期,时段
2025-07-12 08:00:00,31.83,117.26,0,-3.5581045,298.32275,300.75293,100449.5,299.05933,-1.8327551,8.526747,380.29395,0.25071418,0.26994962,0.9471029,0.9724684,0.0057006516,0.37351125,503.86768,64.42462,1,0.00010990711,563556.56,621398.3,798449.8,-118965.44,-142213.88,1005389.6,764333.44,1492688.0,1528263.0,313669.5,9.774818e-05,1.1939562e-05,2025-07-12 08:00:00,4.0023866491752464,300.75293,27.602930000000015,25.172750000000008,86.65480099439155,0.9724684,3600.0,212.31484444444442,424.5175,172.6106388888889,-33.04595555555556,100449.5,212.31484444444442,0.25848028887346186,0.7415197111265381,454.6500889693403,416.02714999999995,19.10833599999999,19.51460296934035,119.91641462565332,0.16273504365736477,8,2025-07-12,白天
2025-07-12 09:00:00,31.83,117.26,0,-4.1493387,298.2356,300.96802,100492.44,300.30444,-1.3616343,8.158912,510.7622,0.2136339,0.23538697,0.9791937,0.98689497,0.007863872,0.4450193,530.0298,64.89514,1,7.665795e-05,1124254.0,869028.1,1357254.0,-97888.125,-157748.69,1692219.0,1061467.0,1506431.0,1576103.0,430467.06,5.859544e-05,1.8234132e-05,2025-07-12 09:00:00,4.367042433301306,300.96802,27.818020000000047,25.0856,85.13134000315183,0.98689497,3600.0,294.8519444444444,437.8063888888889,241.39669444444445,-27.191145833333334,100492.44,294.8519444444444,0.2558878413587563,0.7441121586412437,455.9520964792071,429.05026111111107,26.53667499999999,0.36516036809605623,119.05367115414663,0.0030671911630785332,9,2025-07-12,白天
2025-07-12 10:00:00,31.83,117.26,0,-3.56036,298.04272,302.9524,100516.75,300.22925,-1.20012,8.26942,658.0027,0.16871458,0.2356261,0.9488011,0.96715856,0.008852638,0.38847965,540.6018,64.92645,1,7.173604e-05,1668172.0,1532455.0,1866911.0,-149278.94,-170144.38,2316421.0,1858508.0,1519392.0,1562993.0,1191294.0,6.216191e-05,9.497842e-06,2025-07-12 10:00:00,3.7571866261872064,302.9524,29.802400000000034,24.892719999999997,75.02820341053565,0.96715856,3600.0,516.2522222222223,434.1647222222222,425.68194444444447,-41.466372222222226,100516.75,516.2522222222223,0.26216366248313894,0.7378363375168611,468.0965084160032,425.48142777777775,46.462699999999984,-3.847619361774548,125.2223418794988,-0.030726300946177034,10,2025-07-12,白天
2025-07-12 11:00:00,31.83,117.26,0,-3.3926268,297.86108,302.7732,100503.19,300.6775,-1.3457642,8.71402,738.74927,0.13238424,0.28262544,0.89290607,0.9337216,0.006594252,0.2643587,555.0559,64.54625,1,3.9100705e-05,2106344.0,1703634.0,2263182.0,-166255.94,-194574.38,2800605.0,2043447.0,1540212.0,1574271.0,1303589.0,3.382715e-05,5.2067962e-06,2025-07-12 11:00:00,3.6497942251693973,302.7732,29.623199999999997,24.711080000000038,74.98806106488108,0.9337216,3600.0,567.6241666666666,437.2975,473.2316666666667,-46.182205555555555,100503.19,567.6241666666666,0.2700898690082517,0.7299101309917483,466.98995178153314,428.55155,51.086174999999976,-12.64777321846686,128.70332133147355,-0.098270760129746,11,2025-07-12,白天
2025-07-12 12:00:00,31.83,117.26,0,-3.2215881,298.21924,303.08887,100478.44,301.65308,-1.8252907,9.366441,766.3584,0.11015844,0.12624764,0.78559124,0.81398886,0.0055127405,0.15491903,643.5232,64.43021,1,1.3599188e-05,2356440.0,2060513.0,2491834.0,-192548.31,-200454.94,3080178.0,2531588.0,1553769.0,1575868.0,1813721.0,1.1549162e-05,1.9641766e-06,2025-07-12 12:00:00,3.702744391065646,303.08887,29.93887000000001,25.069240000000036,75.22960894705018,0.81398886,3600.0,703.2188888888888,437.74111111111114,572.3647222222222,-53.485641666666666,100478.44,703.2188888888888,0.28769452906019133,0.7123054709398087,468.94052626119594,428.9862888888889,63.289699999999975,-23.33546262769294,137.66492230607457,-0.16950914028637232,12,2025-07-12,白天
2025-07-12 13:00:00,31.83,117.26,0,-2.8541708,298.17627,304.4873,100374.44,302.75098,-2.3423128,9.295203,741.45776,0.13842392,0.12568241,0.75057274,0.7848286,0.003782997,0.07480532,743.47876,63.388626,1,2.746591e-05,2406495.0,2212652.0,2539812.0,-204706.44,-209250.44,3138650.0,2670197.0,1570994.0,1583867.0,1827981.0,2.236398e-05,5.264037e-06,2025-07-12 13:00:00,3.692251373974486,304.4873,31.337300000000027,25.02627000000001,69.28001849654684,0.7848286,3600.0,741.7213888888889,439.96305555555557,614.6255555555556,-56.8629,100374.44,741.7213888888889,0.2922147725317231,0.7077852274682769,477.6552383784936,431.1637944444445,66.75492499999997,-20.26348106595084,142.42644574628315,-0.14227330436966726,13,2025-07-12,白天
2025-07-12 14:00:00,31.83,117.26,0,-2.8431635,297.92456,303.44995,100354.375,304.05933,-2.3929377,8.748852,839.1887,0.15854979,0.06714028,0.54372895,0.6023371,0.0055724643,0.084361255,855.4402,63.91745,1,0.0007416385,2312386.0,1681705.0,2432499.0,-145505.19,-213664.81,3005468.0,2066971.0,1574872.0,1617513.0,940730.06,0.0005912811,0.00015059597,2025-07-12 14:00:00,3.7161444433462947,303.44995,30.299950000000024,24.774560000000008,72.40602114258179,0.6023371,3600.0,574.1586111111111,449.30916666666667,467.1402777777778,-40.418108333333336,100354.375,574.1586111111111,0.310442194576927,0.689557805423073,471.17918147244853,440.32298333333335,51.67427499999998,-20.8180768608848,149.25908075027252,-0.13947611600071302,14,2025-07-12,白天
2025-07-12 15:00:00,31.83,117.26,0,-2.5875816,297.98853,303.2417,100266.31,305.04834,-2.805334,8.743657,651.927,0.1890449,0.11951387,0.20933032,0.38704807,0.0031042753,0.035006072,948.98706,62.345093,1,3.679216e-05,1877375.0,1622165.0,2075507.0,-172078.44,-184247.19,2571684.0,2007766.0,1555793.0,1582019.0,1222935.0,2.903954e-05,7.666772e-06,2025-07-12 15:00:00,3.8164744710550025,303.2417,30.091700000000003,24.83853000000005,73.55495057389373,0.38704807,3600.0,557.7127777777778,439.44972222222225,450.6013888888889,-47.79956666666667,100266.31,557.7127777777778,0.32202070617470335,0.6779792938252966,469.8870790787148,430.6607277777778,50.19414999999998,-10.967798699062996,154.40139696662897,-0.07103432296945789,15,2025-07-12,白天
2025-07-12 16:00:00,31.83,117.26,0,-2.111908,298.20044,302.4463,100210.19,304.69995,-2.27876,8.270761,702.4536,0.14890563,0.1390543,0.2108863,0.3490929,0.0034595188,0.0451672,991.92163,62.60118,1,9.269025e-06,1506977.0,1378987.0,1689396.0,-162208.25,-189807.75,2094656.0,1708443.0,1564038.0,1591681.0,1074274.0,6.28435e-06,3.2993776e-06,2025-07-12 16:00:00,3.1069120583087,302.4463,29.29630000000003,25.050440000000037,77.97495489408757,0.3490929,3600.0,474.5675,442.1336111111111,383.0519444444444,-45.05784722222222,100210.19,474.5675,0.3225117577730785,0.6774882422269215,464.9764055702591,433.2909388888889,42.71107499999999,-11.025608318629786,153.02077335048176,-0.07205301657557643,16,2025-07-12,白天
2025-07-12 17:00:00,31.83,117.26,0,-2.9458904,298.11743,302.6062,100210.81,302.54614,-2.28831,7.8124123,703.76685,0.43549013,0.116410315,0.3017401,0.5864864,0.09963387,0.18903011,746.48413,61.44084,1,0.0007334007,976132.8,916038.25,1172347.0,-147646.0,-180545.5,1459735.0,1123491.0,1570637.0,1590798.0,586232.5,0.0007031346,3.0571406e-05,2025-07-12 17:00:00,3.7302322856508763,302.6062,29.456200000000024,24.967430000000036,76.87871445975235,0.5864864,3600.0,312.0808333333333,441.8883333333333,254.45506944444443,-41.01277777777778,100210.81,312.0808333333333,0.3101064511379097,0.6898935488620903,465.9604970912693,433.05056666666667,28.087274999999988,4.822655424602647,147.44628175860186,0.032707880911492015,17,2025-07-12,白天
