time,latitude,longitude,number,u10,d2m,t2m,sp,skt,v10n,i10fg,cbh,hcc,lcc,mcc,tcc,tciw,tclw,blh,tcwv,expver,tp,cdir,ssr,ssrc,str,strc,ssrdc,ssrd,strdc,strd,fdir,cp,lsp
2025-07-12T08:00:00,31.83,117.26,0,-3.5581045,298.32275,300.75293,100449.5,299.05933,-1.8327551,8.526747,380.29395,0.25071418,0.26994962,0.9471029,0.9724684,0.0057006516,0.37351125,503.86768,64.42462,0001,0.00010990711,563556.56,621398.3,798449.8,-118965.44,-142213.88,1005389.6,764333.44,1492688.0,1528263.0,313669.5,9.774818e-05,1.1939562e-05
2025-07-12T09:00:00,31.83,117.26,0,-4.1493387,298.2356,300.96802,100492.44,300.30444,-1.3616343,8.158912,510.7622,0.2136339,0.23538697,0.9791937,0.98689497,0.007863872,0.4450193,530.0298,64.89514,0001,7.665795e-05,1124254.0,869028.1,1357254.0,-97888.125,-157748.69,1692219.0,1061467.0,1506431.0,1576103.0,430467.06,5.859544e-05,1.8234132e-05
2025-07-12T10:00:00,31.83,117.26,0,-3.56036,298.04272,302.9524,100516.75,300.22925,-1.20012,8.26942,658.0027,0.16871458,0.2356261,0.9488011,0.96715856,0.008852638,0.38847965,540.6018,64.92645,0001,7.173604e-05,1668172.0,1532455.0,1866911.0,-149278.94,-170144.38,2316421.0,1858508.0,1519392.0,1562993.0,1191294.0,6.216191e-05,9.497842e-06
2025-07-12T11:00:00,31.83,117.26,0,-3.3926268,297.86108,302.7732,100503.19,300.6775,-1.3457642,8.71402,738.74927,0.13238424,0.28262544,0.89290607,0.9337216,0.006594252,0.2643587,555.0559,64.54625,0001,3.9100705e-05,2106344.0,1703634.0,2263182.0,-166255.94,-194574.38,2800605.0,2043447.0,1540212.0,1574271.0,1303589.0,3.382715e-05,5.2067962e-06
2025-07-12T12:00:00,31.83,117.26,0,-3.2215881,298.21924,303.08887,100478.44,301.65308,-1.8252907,9.366441,766.3584,0.11015844,0.12624764,0.78559124,0.81398886,0.0055127405,0.15491903,643.5232,64.43021,0001,1.3599188e-05,2356440.0,2060513.0,2491834.0,-192548.31,-200454.94,3080178.0,2531588.0,1553769.0,1575868.0,1813721.0,1.1549162e-05,1.9641766e-06
2025-07-12T13:00:00,31.83,117.26,0,-2.8541708,298.17627,304.4873,100374.44,302.75098,-2.3423128,9.295203,741.45776,0.13842392,0.12568241,0.75057274,0.7848286,0.003782997,0.07480532,743.47876,63.388626,0001,2.746591e-05,2406495.0,2212652.0,2539812.0,-204706.44,-209250.44,3138650.0,2670197.0,1570994.0,1583867.0,1827981.0,2.236398e-05,5.264037e-06
2025-07-12T14:00:00,31.83,117.26,0,-2.8431635,297.92456,303.44995,100354.375,304.05933,-2.3929377,8.748852,839.1887,0.15854979,0.06714028,0.54372895,0.6023371,0.0055724643,0.084361255,855.4402,63.91745,0001,0.0007416385,2312386.0,1681705.0,2432499.0,-145505.19,-213664.81,3005468.0,2066971.0,1574872.0,1617513.0,940730.06,0.0005912811,0.00015059597
2025-07-12T15:00:00,31.83,117.26,0,-2.5875816,297.98853,303.2417,100266.31,305.04834,-2.805334,8.743657,651.927,0.1890449,0.11951387,0.20933032,0.38704807,0.0031042753,0.035006072,948.98706,62.345093,0001,3.679216e-05,1877375.0,1622165.0,2075507.0,-172078.44,-184247.19,2571684.0,2007766.0,1555793.0,1582019.0,1222935.0,2.903954e-05,7.666772e-06
2025-07-12T16:00:00,31.83,117.26,0,-2.111908,298.20044,302.4463,100210.19,304.69995,-2.27876,8.270761,702.4536,0.14890563,0.1390543,0.2108863,0.3490929,0.0034595188,0.0451672,991.92163,62.60118,0001,9.269025e-06,1506977.0,1378987.0,1689396.0,-162208.25,-189807.75,2094656.0,1708443.0,1564038.0,1591681.0,1074274.0,6.28435e-06,3.2993776e-06
2025-07-12T17:00:00,31.83,117.26,0,-2.9458904,298.11743,302.6062,100210.81,302.54614,-2.28831,7.8124123,703.76685,0.43549013,0.116410315,0.3017401,0.5864864,0.09963387,0.18903011,746.48413,61.44084,0001,0.0007334007,976132.8,916038.25,1172347.0,-147646.0,-180545.5,1459735.0,1123491.0,1570637.0,1590798.0,586232.5,0.0007031346,3.0571406e-05
